A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
123,high,low,low,very_high,very_low,medium,medium,bad
124,high,low,very_low,very_high,low,low,low,good
125,very_low,medium,very_high,low,high,low,low,good
126,very_low,high,high,medium,very_high,low,very_high,bad
127,very_low,high,very_high,low,very_high,low,very_high,bad
128,very_low,high,low,medium,high,very_high,medium,bad
129,low,low,high,very_high,low,low,very_high,bad
130,very_low,low,high,very_low,very_high,medium,very_high,bad
131,very_high,very_high,low,very_high,very_low,low,very_high,good
132,very_low,medium,very_high,very_low,low,high,medium,good
133,very_high,very_low,low,medium,low,high,high,good
134,high,very_low,very_low,high,medium,very_high,very_low,bad
135,very_high,high,medium,very_low,very_high,low,very_high,good
136,high,high,low,low,medium,low,high,bad
137,high,very_low,medium,very_low,very_low,medium,very_low,bad
138,medium,very_high,low,very_high,medium,high,very_high,good
139,high,very_high,high,medium,medium,medium,very_low,good
140,high,very_low,very_low,high,very_low,very_high,low,bad
141,very_low,very_low,low,medium,very_low,high,very_low,bad
142,very_high,high,very_low,very_low,very_high,low,medium,bad
143,low,high,high,very_high,low,medium,high,bad
144,low,low,low,low,high,high,high,bad
145,very_low,low,high,low,very_high,high,very_high,bad
146,very_high,very_low,high,very_high,very_high,medium,medium,good
147,low,low,very_high,high,very_high,low,very_low,good
148,very_high,very_high,low,very_low,medium,medium,very_high,good
149,high,low,low,very_high,very_high,high,high,good
150,very_high,very_low,high,medium,very_high,very_low,high,good
151,very_low,high,very_low,high,very_low,medium,medium,bad
152,high,very_high,medium,very_low,low,very_high,medium,good
153,very_low,high,very_high,low,very_high,medium,very_high,bad
154,low,low,high,medium,very_low,medium,very_low,bad
155,very_low,high,very_high,very_low,medium,medium,very_low,good
156,very_high,medium,very_low,low,medium,very_low,high,bad
157,low,medium,high,very_high,very_low,high,medium,bad
158,high,low,very_low,low,high,very_high,medium,bad
159,high,high,medium,very_high,very_high,low,very_low,good
160,very_low,medium,very_low,low,very_low,very_high,low,bad
161,very_high,very_high,medium,very_high,very_low,very_low,very_high,bad
162,high,medium,high,high,high,high,very_high,good
163,very_high,medium,very_low,medium,low,medium,high,bad
164,low,high,low,very_high,medium,high,medium,bad
165,medium,very_high,medium,very_high,low,very_low,high,bad
166,medium,low,medium,high,very_low,very_high,very_low,bad
167,high,high,medium,medium,medium,high,very_low,good
168,very_high,high,low,very_high,low,low,high,good
169,very_low,low,very_high,very_low,low,very_high,very_low,good
170,high,very_low,high,very_high,low,very_low,high,good
171,very_low,low,low,low,low,high,very_high,bad
172,medium,high,high,high,low,very_high,medium,good
173,medium,very_low,very_low,high,low,very_high,very_low,bad
174,high,medium,very_high,very_low,very_low,very_high,very_high,good
175,very_low,high,very_high,very_low,high,low,very_low,bad
176,very_high,low,very_high,high,very_low,very_low,low,bad
177,low,very_high,very_high,very_low,low,low,very_low,good
178,very_low,low,low,low,high,very_high,medium,bad
179,high,very_low,high,very_high,very_high,high,low,good
180,very_high,low,high,very_high,low,very_high,very_high,good
181,low,very_low,very_high,high,high,medium,medium,good
182,very_low,high,medium,very_low,medium,very_high,low,bad
183,very_low,medium,very_high,very_low,medium,medium,very_low,good
184,very_low,medium,medium,high,high,very_high,very_high,bad
185,medium,low,very_low,very_low,very_high,very_high,very_high,bad
186,low,very_high,low,very_low,very_low,medium,very_high,bad
187,very_low,medium,low,very_low,low,very_high,very_low,bad
188,very_low,low,very_high,low,very_high,low,very_low,good
189,very_low,low,high,low,high,very_high,low,bad
190,medium,low,high,medium,medium,very_high,high,good
191,very_high,medium,very_low,very_low,very_high,high,medium,good
192,low,very_high,medium,very_low,low,high,high,bad
193,low,medium,medium,low,high,high,medium,bad
194,very_low,medium,high,medium,medium,medium,high,bad
195,very_high,medium,high,medium,medium,very_low,very_high,bad
196,medium,high,high,very_low,low,very_high,low,good
197,low,very_high,high,medium,high,low,medium,bad
198,low,low,medium,very_low,very_high,medium,very_high,bad
199,very_low,low,medium,high,low,high,very_high,bad
200,low,low,low,very_low,high,high,high,bad
201,very_low,high,very_high,medium,very_high,medium,very_high,bad
202,high,very_low,very_high,high,very_high,very_low,very_high,good
203,very_low,very_high,very_low,very_low,low,very_high,medium,bad
204,high,medium,very_high,high,high,high,high,good
205,high,low,low,high,very_low,medium,low,bad
206,very_low,medium,medium,low,very_high,very_high,high,bad
207,very_high,high,low,very_high,very_high,very_low,medium,good
208,high,very_low,very_high,low,low,very_high,low,good
209,medium,medium,very_low,very_low,low,very_high,very_low,bad
210,medium,medium,high,very_high,high,high,high,good
211,medium,medium,low,very_low,low,medium,very_low,bad
212,very_high,very_low,low,very_low,high,high,very_high,good
213,medium,high,medium,very_high,very_high,low,very_low,good
214,low,low,very_high,very_high,high,very_low,low,bad
215,very_high,medium,very_low,very_high,low,low,high,good
216,medium,medium,medium,high,medium,high,medium,good
217,very_high,very_high,high,very_low,high,low,very_high,good
218,high,low,medium,very_high,medium,very_low,medium,good
219,medium,very_low,very_high,medium,medium,high,low,good
220,high,high,medium,very_high,very_high,very_low,high,good
221,very_high,very_high,low,very_low,low,high,high,good
222,high,medium,low,very_high,medium,very_low,very_high,good
223,medium,low,very_high,very_low,very_high,very_low,high,good
224,high,medium,high,very_low,medium,very_low,very_high,good
225,low,very_low,medium,very_low,high,very_high,very_low,bad
226,high,low,low,high,medium,low,high,bad
227,low,very_low,very_low,very_low,very_low,very_high,very_low,bad
228,low,medium,high,very_high,very_high,low,high,good
229,low,high,medium,high,very_low,very_low,medium,bad
230,low,very_high,very_low,high,medium,high,high,bad
231,very_low,low,very_high,very_high,very_high,low,low,good
232,medium,high,medium,high,very_high,very_low,high,good
233,very_high,high,low,low,very_high,very_low,low,bad
234,low,medium,low,high,low,high,medium,bad
235,very_low,high,very_high,very_low,high,low,very_low,good
236,very_low,medium,medium,medium,high,very_high,high,bad
237,high,medium,medium,high,very_low,medium,medium,bad
238,very_high,high,low,very_high,very_low,very_low,high,bad
239,medium,high,low,high,very_low,low,low,bad
240,very_low,low,low,high,high,very_high,very_high,bad
241,very_low,low,very_high,medium,high,very_low,very_high,bad
242,medium,medium,very_low,very_high,very_low,medium,low,bad
243,very_low,high,very_high,very_low,low,high,medium,bad
244,very_low,very_high,very_high,low,very_high,very_low,very_high,bad
245,very_high,very_low,very_low,very_high,very_low,high,low,good
246,high,high,medium,very_low,very_low,very_high,medium,good
247,low,very_high,medium,very_high,very_low,very_low,high,good
248,high,low,low,low,high,high,low,bad
249,low,medium,high,very_high,very_high,medium,medium,good
250,very_low,low,medium,very_low,high,very_high,very_low,bad
251,very_high,high,high,very_high,very_high,very_low,very_high,good
252,high,medium,very_high,very_low,very_low,high,very_low,good
253,very_low,high,very_high,very_high,very_low,high,low,bad
254,medium,very_high,low,low,very_low,low,medium,good
255,very_high,very_high,medium,very_high,very_low,very_low,medium,good
256,very_low,medium,medium,medium,medium,very_high,low,bad
257,very_low,very_high,very_low,very_low,medium,medium,low,good
258,low,high,very_low,low,high,very_low,low,good
259,low,very_high,high,medium,high,very_low,high,bad
260,very_high,very_high,low,very_low,very_low,very_high,medium,good
261,very_low,medium,very_high,medium,medium,low,very_high,bad
262,very_high,medium,low,very_low,high,very_high,very_high,good
263,medium,high,low,low,medium,high,low,bad
264,high,medium,medium,very_high,very_low,very_low,high,bad
265,high,very_high,very_low,low,high,low,high,bad
266,low,medium,medium,high,medium,medium,very_high,bad
267,high,low,very_low,very_low,high,very_high,medium,bad
268,low,medium,high,very_low,medium,very_high,medium,bad
269,high,high,very_high,very_high,very_low,very_low,very_high,bad
270,high,medium,high,medium,very_low,very_high,high,good
271,low,high,very_high,medium,medium,very_low,very_high,bad
272,very_low,medium,high,low,very_high,medium,very_high,bad
273,medium,low,very_high,very_high,high,high,medium,good
274,very_high,low,low,medium,very_low,medium,high,good
275,very_high,very_low,very_high,high,very_low,very_high,high,good
276,very_low,very_high,high,very_low,high,very_low,very_low,good
277,very_low,high,high,very_low,very_high,low,very_high,bad
278,very_low,very_high,low,very_low,low,high,high,bad
279,medium,high,low,low,high,medium,high,bad
280,very_high,medium,very_low,low,high,high,medium,bad
281,medium,very_low,low,medium,low,high,very_low,bad
282,very_low,medium,very_high,very_low,high,low,low,good
283,very_high,very_low,very_low,very_high,medium,very_high,medium,good
284,high,very_low,low,medium,low,medium,medium,good
285,medium,low,very_low,medium,medium,very_high,medium,bad
286,very_low,low,medium,low,very_low,high,very_low,bad
287,very_low,medium,high,high,very_low,very_high,medium,bad
288,low,low,very_high,low,low,high,very_high,good
289,high,very_high,very_low,low,low,very_high,medium,bad
290,very_low,very_high,very_high,high,medium,very_low,very_high,bad
291,medium,medium,medium,very_high,high,high,medium,good
292,low,medium,very_high,high,high,low,high,good
293,very_low,high,very_high,medium,medium,very_low,very_high,bad
294,high,very_low,medium,very_high,very_high,very_low,very_high,good
295,high,high,very_high,high,low,low,very_high,bad
296,low,medium,medium,high,high,medium,very_high,bad
297,very_low,low,very_high,high,low,very_high,high,bad
298,high,high,low,low,low,very_low,very_high,bad
299,very_low,high,very_high,high,high,low,medium,good
300,very_low,medium,high,low,low,high,very_low,good
301,high,very_high,low,high,medium,very_low,high,good
302,high,very_low,very_high,very_high,medium,very_high,very_high,good
303,very_high,very_low,medium,very_low,high,medium,medium,good
304,very_low,medium,very_high,medium,high,low,very_high,bad
305,low,very_high,low,high,very_high,low,very_low,good
306,very_low,high,medium,very_low,very_high,very_low,very_high,bad
307,very_low,very_low,low,low,high,very_high,very_high,bad
308,very_high,high,very_low,high,low,low,medium,bad
309,medium,low,medium,medium,low,high,low,bad
310,very_high,very_high,very_high,medium,very_high,very_low,very_high,good
311,very_low,high,very_high,low,very_high,medium,low,good
312,very_low,very_low,very_high,very_low,high,medium,very_low,good
313,low,very_high,medium,medium,very_high,medium,high,bad
314,low,very_high,very_high,very_high,very_low,very_low,high,bad
315,very_high,very_low,very_low,very_high,very_high,high,medium,good
316,medium,very_high,low,high,high,medium,very_low,good
317,very_low,very_high,very_high,high,very_low,very_low,very_high,bad
318,low,very_low,medium,medium,very_low,high,very_low,bad
319,very_low,medium,high,low,very_high,low,very_high,bad
320,medium,very_low,medium,very_high,very_high,very_low,medium,good
321,medium,high,very_low,high,very_low,medium,low,bad
322,very_high,high,very_low,low,very_high,high,low,bad
323,very_low,very_high,low,low,high,very_high,high,bad
324,very_high,high,very_low,very_high,low,high,low,good
325,medium,very_low,very_high,very_high,medium,high,very_high,good
326,low,very_high,high,very_high,very_low,medium,low,bad
327,very_high,low,low,low,high,high,very_high,good
328,very_high,very_low,low,very_high,very_high,very_low,high,good
329,very_high,low,very_low,low,low,very_high,low,bad
330,medium,medium,very_high,low,high,medium,low,good
331,very_high,very_high,low,very_low,very_low,very_high,very_high,good
332,high,high,medium,medium,high,very_low,very_high,bad
333,low,low,high,high,very_low,low,very_low,bad
334,very_low,medium,very_high,low,high,medium,low,good
335,very_high,high,high,low,very_low,very_low,low,bad
336,very_low,very_low,very_high,high,high,very_low,very_low,good
337,medium,very_high,very_high,very_high,high,very_low,very_high,good
338,medium,very_low,high,very_high,very_low,very_low,very_low,bad
339,low,very_low,medium,medium,medium,low,very_high,bad
340,medium,medium,low,low,medium,very_high,low,bad
341,very_high,very_high,very_low,very_high,very_low,very_high,very_low,good
342,high,low,low,low,low,low,medium,good
343,very_high,low,low,medium,very_high,low,very_high,good
344,high,low,very_high,low,very_high,very_low,very_high,good
345,high,low,medium,medium,very_high,very_low,very_high,good
346,very_high,very_low,very_low,medium,low,high,high,good
347,low,very_high,medium,low,very_high,very_high,very_low,bad
348,very_high,very_high,high,medium,low,low,very_high,good
349,very_high,low,high,very_low,low,very_high,very_low,good
350,very_low,medium,very_high,high,very_high,low,low,good
351,very_high,very_low,very_high,medium,very_low,very_high,very_high,good
352,very_high,very_low,high,very_high,low,very_high,high,good
353,medium,medium,high,low,very_high,low,very_high,bad
354,high,low,medium,very_low,very_high,low,high,good
355,very_low,medium,very_high,high,high,high,high,bad
356,high,very_low,high,very_high,low,medium,low,bad
357,high,very_high,very_high,very_high,very_low,very_low,very_high,bad
358,very_low,high,medium,very_low,very_low,very_high,medium,bad
359,very_low,very_low,medium,low,very_low,high,very_low,bad
360,very_low,very_low,very_low,very_low,very_high,very_high,very_high,bad
361,very_high,medium,very_low,low,very_high,medium,high,good
362,low,high,high,high,very_high,low,very_low,good
363,high,medium,low,very_high,low,very_low,high,good
364,high,low,high,medium,low,low,very_high,bad
365,very_low,high,low,low,high,high,very_low,bad
366,medium,high,very_low,medium,medium,low,low,good
367,very_high,very_low,very_low,low,low,very_high,high,good
368,very_low,very_high,high,low,very_high,low,very_low,good
369,very_high,very_low,very_low,very_high,low,medium,low,good
370,very_high,medium,very_high,high,very_high,very_low,very_high,good
371,very_low,medium,very_low,low,very_low,very_high,very_low,bad
372,low,very_low,medium,low,low,very_high,very_low,bad
373,medium,very_high,low,very_low,medium,very_low,medium,good
374,very_low,low,very_high,medium,high,medium,low,good
375,very_high,medium,medium,medium,very_high,very_low,very_high,good
376,low,medium,medium,high,medium,high,medium,bad
377,very_high,very_low,medium,very_high,high,very_high,high,good
378,very_high,low,low,very_high,medium,very_high,low,good
379,low,very_low,low,very_low,very_high,high,very_high,bad
380,low,very_high,low,very_low,low,very_high,high,bad
381,very_low,low,high,medium,low,low,very_high,bad
382,low,low,high,very_high,very_high,low,very_low,good
383,high,very_low,medium,high,very_high,very_low,low,good
384,medium,medium,low,very_high,very_low,very_low,very_low,good
385,very_high,low,very_low,very_low,high,high,low,good
386,low,medium,medium,very_low,high,low,very_high,bad
387,medium,high,low,medium,high,high,low,bad
388,very_high,high,very_low,very_high,very_low,medium,low,good
389,low,low,very_high,low,low,very_low,very_high,bad
390,medium,very_low,very_low,very_low,very_high,high,medium,bad
391,very_low,medium,very_low,high,very_low,medium,very_low,bad
392,high,high,very_high,low,low,very_low,very_high,good
393,very_low,very_high,very_low,very_low,very_high,very_high,low,bad
394,very_low,low,very_high,low,very_low,low,very_low,bad
395,medium,very_high,medium,medium,low,low,low,bad
396,very_high,medium,low,medium,medium,medium,high,good
397,high,high,very_low,very_high,very_low,very_high,low,bad
398,high,low,high,very_high,very_high,medium,medium,good
399,low,very_high,very_low,low,low,very_high,very_high,bad
400,low,high,low,low,high,very_low,low,good
401,very_high,high,very_low,very_high,high,low,medium,good
402,very_high,very_high,medium,very_low,low,medium,medium,good
403,low,medium,medium,low,high,medium,high,bad
404,very_low,medium,medium,medium,very_high,very_high,high,bad
405,high,medium,medium,low,low,low,medium,good
406,high,high,high,low,very_high,very_low,very_high,good
407,high,high,medium,high,very_low,very_low,medium,bad
408,very_high,very_low,medium,very_high,medium,very_high,medium,good
409,low,very_high,low,low,low,medium,high,bad
410,medium,medium,very_low,medium,very_low,very_high,low,bad
411,low,low,very_high,very_low,high,very_high,medium,bad
412,medium,very_low,very_high,very_high,high,very_high,very_high,good
413,medium,low,low,low,high,high,very_low,bad
414,high,high,very_low,high,very_low,medium,medium,bad
415,very_low,high,medium,high,medium,very_high,low,bad
416,high,very_high,medium,low,low,very_low,high,good
417,very_high,very_high,very_high,medium,high,very_low,very_high,good
418,high,medium,high,high,very_low,medium,high,bad
419,high,very_low,medium,low,very_high,very_low,high,good
420,medium,very_low,very_high,medium,medium,high,low,bad
421,very_low,very_high,very_low,very_low,medium,very_high,medium,bad
422,very_high,medium,low,very_high,medium,high,high,good
423,medium,very_high,low,low,medium,high,very_low,good
424,very_low,high,very_high,very_low,medium,low,very_low,good
425,medium,very_high,high,very_high,very_low,medium,medium,bad
426,medium,high,high,medium,high,medium,very_low,good
427,medium,medium,high,high,high,very_low,low,good
428,very_high,very_low,medium,very_high,high,very_high,very_high,good
429,very_low,very_high,high,low,high,low,very_low,good
430,high,very_high,very_low,very_high,very_low,very_high,very_high,bad
431,low,very_high,high,medium,very_low,low,very_low,bad
432,low,medium,medium,low,very_high,medium,low,bad
433,very_high,very_low,very_high,very_high,high,very_high,very_high,good
434,very_high,high,low,medium,medium,very_low,medium,bad
435,high,very_low,very_low,very_high,very_low,low,very_low,bad
436,very_high,very_high,medium,high,very_high,very_low,very_high,good
437,medium,high,high,medium,low,low,low,bad
438,high,very_low,high,medium,very_low,low,very_low,bad
439,low,high,very_low,very_high,very_low,low,medium,bad
440,low,high,medium,high,medium,medium,low,good
441,medium,very_low,medium,very_high,very_low,low,low,bad
442,low,high,high,very_low,very_high,low,very_low,good
443,high,very_high,medium,very_high,high,medium,medium,good
444,high,very_high,very_high,very_low,medium,very_low,very_high,good
445,medium,high,medium,high,medium,very_low,medium,good
446,low,low,medium,high,medium,high,very_high,bad
447,low,low,high,high,very_high,low,very_low,good
448,very_low,low,very_low,medium,low,very_high,very_low,bad
449,very_high,very_low,high,very_high,very_low,very_low,very_low,bad
450,very_low,low,very_high,high,very_high,medium,very_high,good
451,very_low,very_low,very_high,very_low,medium,very_high,very_low,bad
452,medium,high,high,very_low,high,high,very_low,good
453,very_high,high,low,medium,high,low,very_high,good
454,low,very_low,very_high,low,medium,high,medium,good
455,high,very_low,very_high,very_low,low,very_high,high,good
456,medium,very_high,very_low,high,low,very_high,high,good
457,low,low,medium,high,very_low,high,low,bad
458,very_low,very_high,medium,high,very_high,very_low,very_low,good
459,medium,low,very_low,low,very_high,high,very_high,bad
460,medium,high,medium,high,very_low,low,medium,bad
461,medium,very_high,medium,high,high,very_low,very_high,good
462,very_low,very_high,very_high,very_low,high,low,low,good
463,high,low,high,high,low,very_high,very_high,good
464,low,high,medium,low,low,low,very_low,bad
465,high,very_low,medium,very_high,low,very_low,medium,good
466,medium,very_low,medium,high,very_high,very_low,high,good
467,medium,medium,very_high,low,very_low,high,low,good
468,medium,very_high,very_high,high,very_low,very_low,very_high,bad
469,very_low,low,very_high,low,very_high,medium,high,bad
470,medium,low,low,high,low,very_low,medium,good
471,high,medium,low,medium,very_low,high,medium,bad
472,high,very_high,low,medium,very_low,low,very_low,good
473,high,low,medium,high,very_low,low,low,bad
474,very_high,very_high,low,low,medium,low,very_high,good
475,medium,very_low,medium,low,very_low,very_high,very_low,bad
476,very_high,low,low,medium,medium,very_high,low,good
477,very_low,medium,medium,medium,high,very_high,medium,bad
478,very_high,high,low,very_low,high,medium,medium,good
479,very_high,low,medium,medium,low,very_high,high,good
480,very_high,low,medium,very_high,high,high,low,good
481,very_high,medium,high,medium,very_low,very_high,very_high,good
482,medium,very_high,very_low,high,medium,high,high,good
483,high,very_low,low,very_high,low,very_low,high,good
484,very_low,very_high,medium,high,very_high,very_low,very_low,good
485,high,high,very_low,low,very_low,high,low,bad
486,low,low,medium,medium,very_high,very_high,medium,bad
487,very_low,high,very_high,high,very_high,very_low,very_low,good
488,very_low,very_high,very_high,high,medium,low,very_high,bad
489,high,very_high,very_low,high,medium,medium,very_high,bad
490,low,medium,very_low,very_low,very_low,very_high,very_low,bad
491,medium,very_high,very_low,very_high,low,very_low,medium,good
492,high,very_low,very_high,very_high,very_high,high,high,good
493,high,high,low,medium,medium,very_low,low,good
494,low,very_high,very_low,low,high,very_high,medium,bad
495,very_low,very_high,high,medium,high,low,very_low,good
496,very_low,low,very_high,medium,very_high,very_low,very_low,good
497,very_low,medium,very_high,very_low,very_high,low,very_low,good
498,low,very_high,medium,very_low,low,high,low,good
499,high,high,medium,very_high,high,very_low,high,good
500,very_high,very_high,high,low,high,very_low,very_high,good
501,medium,high,very_high,very_low,very_low,high,very_low,good
502,very_low,high,very_high,very_high,very_low,very_low,very_high,bad
503,very_low,very_high,low,high,medium,medium,low,good
504,high,low,very_high,high,medium,high,high,good
505,medium,medium,very_low,very_high,high,very_low,low,good
506,low,medium,medium,very_high,medium,medium,medium,good
507,medium,low,very_low,low,low,medium,medium,good
508,low,low,low,high,low,very_high,low,bad
509,very_high,high,low,very_high,high,very_low,very_high,good
510,high,low,low,very_high,very_low,low,low,bad
511,very_high,medium,low,high,low,medium,very_high,good
512,very_high,very_low,high,very_high,very_low,very_low,medium,bad
513,medium,high,medium,very_low,low,low,low,bad
514,high,very_high,low,medium,medium,low,low,bad
515,very_high,very_low,low,very_high,very_high,low,high,good
516,very_low,medium,medium,high,low,very_high,very_high,bad
517,very_high,high,low,high,very_low,low,low,bad
518,high,medium,very_low,very_high,very_low,low,very_low,good
519,medium,high,very_low,medium,high,high,low,bad
520,very_high,low,low,high,very_low,high,medium,good
521,high,high,very_low,low,low,high,low,bad
522,very_high,very_high,very_low,very_low,high,high,very_high,good
523,high,low,very_low,very_high,very_low,high,low,bad
524,low,high,low,medium,very_low,low,low,bad
525,very_high,high,very_high,very_high,very_low,very_low,very_high,bad
526,very_high,very_low,high,high,very_high,very_low,high,good
527,very_high,high,very_high,medium,low,very_low,high,bad
528,high,very_high,medium,very_high,medium,high,high,good
529,medium,high,very_low,medium,very_high,very_high,medium,bad
530,very_high,low,very_high,medium,very_low,very_low,medium,bad
531,low,high,very_low,high,very_low,very_high,high,bad
532,very_low,very_low,very_low,very_low,very_high,very_high,high,bad
533,high,medium,high,very_high,very_high,medium,medium,good
534,high,low,very_low,high,medium,very_high,medium,bad
535,low,medium,medium,medium,medium,high,very_low,good
536,medium,high,high,low,medium,very_low,very_high,bad
537,high,high,very_low,medium,very_low,very_high,high,bad
538,very_low,very_high,very_high,very_low,medium,very_low,very_low,good
539,very_low,very_low,very_high,very_high,low,very_low,medium,good
